epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,2369.64,1.16134,1.50253,1.5765,0.2234,0.31946,0.2554,0.15962,1.21893,3.7873,2.04147,0.0089011,0.0089011,0.0089011
113,2390.48,1.16821,1.45227,1.58718,0.24347,0.36,0.32356,0.19971,1.28114,2.81698,2.16728,0.0088912,0.0088912,0.0088912
114,2411.39,1.17204,1.48443,1.59904,0.35272,0.24841,0.26031,0.15869,1.38249,3.19209,2.25252,0.0088813,0.0088813,0.0088813
115,2432.2,1.13957,1.44493,1.57226,0.26298,0.37693,0.31052,0.19403,1.18963,3.07494,2.11639,0.0088714,0.0088714,0.0088714
116,2453.12,1.20644,1.54017,1.62503,0.29379,0.33333,0.25825,0.17068,1.13394,3.36391,2.03008,0.0088615,0.0088615,0.0088615
117,2473.91,1.15938,1.44788,1.57756,0.22186,0.31731,0.25571,0.17332,1.19889,3.55321,2.12795,0.0088516,0.0088516,0.0088516
118,2494.82,1.20957,1.53422,1.63146,0.2885,0.24652,0.23755,0.15248,1.3571,4.02902,2.26355,0.0088417,0.0088417,0.0088417
119,2515.68,1.14077,1.44655,1.58228,0.22224,0.33514,0.2444,0.17169,1.1426,3.75304,2.0769,0.0088318,0.0088318,0.0088318
120,2536.48,1.16406,1.41923,1.58927,0.26079,0.28,0.27766,0.18673,1.2611,3.50981,2.18546,0.0088219,0.0088219,0.0088219
121,2557.29,1.16393,1.48969,1.58742,0.34042,0.29893,0.27994,0.18432,1.2681,3.37916,2.19441,0.008812,0.008812,0.008812
122,2578.09,1.14006,1.46529,1.57468,0.21606,0.33333,0.25513,0.16613,1.22154,3.60588,2.11856,0.0088021,0.0088021,0.0088021
123,2598.86,1.13431,1.44522,1.54471,0.27666,0.29333,0.27482,0.17218,1.27417,3.41673,2.1451,0.0087922,0.0087922,0.0087922
124,2619.7,1.15089,1.51258,1.57949,0.23886,0.35384,0.26751,0.16221,1.24589,2.93283,2.14847,0.0087823,0.0087823,0.0087823
125,2640.56,1.152,1.45687,1.57291,0.36685,0.26245,0.26922,0.17742,1.41772,3.10063,2.34182,0.0087724,0.0087724,0.0087724
126,2661.31,1.15826,1.44462,1.59299,0.2174,0.33055,0.20895,0.13022,1.51302,3.33954,2.48279,0.0087625,0.0087625,0.0087625
127,2682.23,1.1423,1.4374,1.57378,0.25078,0.355,0.26652,0.17586,1.29944,3.57358,2.14853,0.0087526,0.0087526,0.0087526
128,2703.05,1.1689,1.44307,1.58625,0.34707,0.29333,0.27185,0.17507,1.19173,3.67553,2.08092,0.0087427,0.0087427,0.0087427
129,2723.84,1.11589,1.43318,1.54133,0.29773,0.33889,0.29573,0.19756,1.0939,3.20389,2.04996,0.0087328,0.0087328,0.0087328
130,2744.71,1.13908,1.42269,1.56766,0.24358,0.3488,0.25761,0.15608,1.24993,3.55736,2.13857,0.0087229,0.0087229,0.0087229
131,2765.52,1.12567,1.36952,1.5693,0.2563,0.27676,0.21279,0.14289,1.47369,3.81611,2.38059,0.008713,0.008713,0.008713
132,2786.33,1.16756,1.39597,1.60098,0.29726,0.2905,0.29341,0.1894,1.1467,3.86776,2.03855,0.0087031,0.0087031,0.0087031
133,2807.26,1.13431,1.42037,1.56469,0.31152,0.2809,0.25813,0.16892,1.19625,3.99026,2.09536,0.0086932,0.0086932,0.0086932
