epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,555.367,1.16205,1.04789,1.6638,0.63962,0.66667,0.68185,0.41944,1.72978,1.01827,2.70008,0.0093367,0.0093367,0.0093367
69,563.371,1.14548,1.05253,1.63474,0.5655,0.86667,0.73276,0.41257,1.76351,1.05985,2.81934,0.0093268,0.0093268,0.0093268
70,571.324,1.14167,1.04341,1.64935,0.69928,0.93333,0.78809,0.49207,1.54575,0.94312,2.52703,0.0093169,0.0093169,0.0093169
71,579.236,1.14048,1.06396,1.65301,0.40203,0.53333,0.58302,0.42494,1.63994,2.01721,2.72806,0.009307,0.009307,0.009307
72,587.313,1.15818,1.07136,1.63267,0.76607,0.8,0.75562,0.50193,1.43556,0.8828,2.41102,0.0092971,0.0092971,0.0092971
73,596.292,1.16185,1.08342,1.65543,0.68158,0.73127,0.68484,0.43995,1.44414,0.98035,2.57889,0.0092872,0.0092872,0.0092872
74,604.902,1.13236,1.03809,1.64994,0.65071,0.84717,0.79083,0.51123,1.54803,1.05039,2.68541,0.0092773,0.0092773,0.0092773
75,613.201,1.11107,1.07254,1.61393,0.65674,0.67225,0.68838,0.44148,1.69145,1.49739,2.76707,0.0092674,0.0092674,0.0092674
76,622.032,1.11134,1.05107,1.6149,0.68268,0.74539,0.70741,0.48281,1.5277,1.07251,2.64268,0.0092575,0.0092575,0.0092575
77,630.891,1.13388,1.02797,1.64493,0.49895,0.71433,0.69999,0.49219,1.67802,1.25939,2.64247,0.0092476,0.0092476,0.0092476
78,639.612,1.13507,1.04313,1.59872,0.66781,0.68762,0.70352,0.51486,1.66253,0.83691,2.62401,0.0092377,0.0092377,0.0092377
79,649.007,1.121,1.06719,1.60895,0.84486,0.46667,0.6681,0.46018,1.57425,1.37319,2.5177,0.0092278,0.0092278,0.0092278
80,657.502,1.11125,1.0456,1.61312,0.67632,0.57563,0.68559,0.43827,1.40148,1.57607,2.29809,0.0092179,0.0092179,0.0092179
81,665.651,1.10623,1.05067,1.61082,0.4446,0.66667,0.68175,0.39576,1.65972,1.8071,2.81373,0.009208,0.009208,0.009208
82,673.733,1.12162,1.01937,1.6085,0.45228,0.6,0.54572,0.29205,1.70103,1.80995,2.55114,0.0091981,0.0091981,0.0091981
83,681.886,1.10942,1.07438,1.61235,0.53332,0.6,0.55746,0.32932,1.41731,1.59515,2.27705,0.0091882,0.0091882,0.0091882
84,690.123,1.13318,1.01471,1.62248,0.50723,0.52811,0.49915,0.32405,1.63454,1.80678,2.45153,0.0091783,0.0091783,0.0091783
85,698.626,1.12164,1.04643,1.65443,0.61065,0.73294,0.6494,0.37079,1.74177,1.12863,2.69632,0.0091684,0.0091684,0.0091684
86,706.682,1.11186,0.99603,1.59411,0.75158,0.85823,0.82132,0.49401,1.49306,1.01876,2.46122,0.0091585,0.0091585,0.0091585
87,714.814,1.0967,0.97866,1.58903,0.68196,0.86667,0.77619,0.50509,1.46336,0.98602,2.38709,0.0091486,0.0091486,0.0091486
88,722.921,1.08987,0.96593,1.60184,0.66527,0.77235,0.75791,0.50639,1.48093,0.9691,2.53011,0.0091387,0.0091387,0.0091387
89,731.219,1.13411,0.99669,1.60683,0.61093,0.85078,0.7927,0.52175,1.33068,1.08851,2.23526,0.0091288,0.0091288,0.0091288
90,739.598,1.0982,0.99238,1.59233,0.44612,0.5913,0.58577,0.39101,1.41657,1.56368,2.44285,0.0091189,0.0091189,0.0091189
91,748.406,1.1022,0.99507,1.61099,0.79822,0.53333,0.58072,0.39042,1.5721,1.41332,2.56339,0.009109,0.009109,0.009109
92,756.646,1.06622,1.00486,1.55537,0.78049,0.78218,0.79422,0.49159,1.62861,1.03469,2.53582,0.0090991,0.0090991,0.0090991
93,765.131,1.0984,1.00726,1.59752,0.79886,0.79414,0.83583,0.51931,1.50941,0.85693,2.48761,0.0090892,0.0090892,0.0090892
94,773.631,1.07057,0.95829,1.57719,0.75772,0.8,0.83029,0.50614,1.69415,0.82767,2.72479,0.0090793,0.0090793,0.0090793
95,782.169,1.07332,0.93174,1.59318,0.64423,0.73333,0.76351,0.50823,1.46789,1.36647,2.68071,0.0090694,0.0090694,0.0090694
